,R/H,TEMPERATURE,RESISTANCE,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.6,24.43,1290.460,,,,,,,,
,54.6,24.43,1290.460,,,,,,,,
,54.6,24.43,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.6,24.43,1290.460,,,,,,,,
,54.6,24.43,1290.450,,,,,,,,
,54.6,24.43,1290.460,,,,,,,,
,54.6,24.43,1290.460,,,,,,,,
,54.6,24.43,1290.460,,,,,,,,
,54.6,24.42,1290.450,,,,,,,,
,54.6,24.42,1290.450,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.450,,,,,,,,
,54.6,24.43,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.450,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.450,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.43,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.43,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.41,1290.460,,,,,,,,
,54.6,24.42,1290.450,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.450,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.450,,,,,,,,
,54.6,24.42,1290.450,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.6,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.41,1290.450,,,,,,,,
,54.7,24.41,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.41,1290.450,,,,,,,,
,54.7,24.41,1290.450,,,,,,,,
,54.7,24.41,1290.460,,,,,,,,
,54.7,24.41,1290.460,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.7,24.42,1290.460,,,,,,,,
,54.7,24.41,1290.450,,,,,,,,
,54.7,24.41,1290.450,,,,,,,,
,54.7,24.42,1290.450,,,,,,,,
,54.8,24.41,1290.460,,,,,,,,
,54.8,24.41,1290.450,,,,,,,,
,54.8,24.41,1290.460,,,,,,,,
,54.8,24.41,1290.450,,,,,,,,
,54.8,24.41,1290.450,,,,,,,,
,54.8,24.41,1290.460,,,,,,,,
,54.8,24.41,1290.460,,,,,,,,
,54.8,24.42,1290.460,,,,,,,,
,54.8,24.42,1290.450,,,,,,,,
,54.8,24.42,1290.460,,,,,,,,
,54.8,24.42,1290.460,,,,,,,,
,54.8,24.42,1290.460,,,,,,,,
,54.8,24.43,1290.460,,,,,,,,
,54.8,24.43,1290.460,,,,,,,,
,54.9,24.42,1290.460,,,,,,,,
,54.9,24.42,1290.460,,,,,,,,
,54.9,24.42,1290.460,,,,,,,,
,54.9,24.43,1290.460,,,,,,,,
,54.9,24.43,1290.460,,,,,,,,
,54.9,24.42,1290.460,,,,,,,,
,54.9,24.42,1290.460,,,,,,,,
,54.9,24.42,1290.460,,,,,,,,
,54.9,24.43,1290.460,,,,,,,,
,54.9,24.42,1290.460,,,,,,,,
,55,24.42,1290.460,,,,,,,,
,55,24.42,1290.460,,,,,,,,
,55,24.43,1290.460,,,,,,,,
,55,24.43,1290.460,,,,,,,,
,55,24.43,1290.460,,,,,,,,
,55,24.43,1290.460,,,,,,,,
,55,24.43,1290.460,,,,,,,,
,55,24.43,1290.460,,,,,,,,
,55,24.43,1290.460,,,,,,,,
,55.1,24.43,1290.460,,,,,,,,
,55.1,24.43,1290.460,,,,,,,,
,55.1,24.43,1290.460,,,,,,,,
,55.1,24.43,1290.460,,,,,,,,
,55.1,24.43,1290.460,,,,,,,,
,55.1,24.43,1290.460,,,,,,,,
,55.1,24.43,1290.460,,,,,,,,
,55.2,24.44,1290.460,,,,,,,,
,55.2,24.44,1290.460,,,,,,,,
,55.2,24.44,1290.460,,,,,,,,
,55.2,24.44,1290.460,,,,,,,,
,55.2,24.44,1290.460,,,,,,,,
,55.2,24.44,1290.460,,,,,,,,
,55.2,24.44,1290.460,,,,,,,,
,55.2,24.44,1290.460,,,,,,,,
,55.2,24.44,1290.460,,,,,,,,
,55.2,24.43,1290.460,,,,,,,,
,55.2,24.43,1290.460,,,,,,,,
,55.2,24.44,1290.460,,,,,,,,
,55.3,24.44,1290.460,,,,,,,,
,55.3,24.44,1290.460,,,,,,,,
,55.3,24.44,1290.460,,,,,,,,
,55.3,24.44,1290.460,,,,,,,,
,55.3,24.43,1290.460,,,,,,,,
,55.3,24.44,1290.460,,,,,,,,
,55.3,24.44,1290.460,,,,,,,,
,55.3,24.44,1290.460,,,,,,,,
,55.3,24.44,1290.460,,,,,,,,
,55.3,24.44,1290.460,,,,,,,,
,55.3,24.44,1290.460,,,,,,,,
,55.4,24.44,1290.460,,,,,,,,
,55.4,24.45,1290.460,,,,,,,,
,55.4,24.45,1290.460,,,,,,,,
,55.4,24.45,1290.460,,,,,,,,
,55.4,24.45,1290.460,,,,,,,,
,55.4,24.45,1290.470,,,,,,,,
,55.4,24.45,1290.460,,,,,,,,
,55.4,24.45,1290.460,,,,,,,,
,55.4,24.45,1290.460,,,,,,,,
,55.4,24.45,1290.460,,,,,,,,
,55.4,24.45,1290.470,,,,,,,,
,55.4,24.45,1290.460,,,,,,,,
,55.4,24.45,1290.460,,,,,,,,
,55.5,24.45,1290.470,,,,,,,,
,55.5,24.45,1290.460,,,,,,,,
,55.5,24.45,1290.470,,,,,,,,
,55.5,24.45,1290.470,,,,,,,,
,55.5,24.45,1290.460,,,,,,,,
,55.5,24.46,1290.470,,,,,,,,
,55.5,24.45,1290.470,,,,,,,,
,55.5,24.46,1290.470,,,,,,,,
,55.5,24.46,1290.470,,,,,,,,
,55.5,24.45,1290.470,,,,,,,,
,55.5,24.46,1290.470,,,,,,,,
,55.5,24.46,1290.470,,,,,,,,
,55.5,24.46,1290.470,,,,,,,,
,55.5,24.46,1290.470,,,,,,,,
,55.6,24.46,1290.470,,,,,,,,
,55.6,24.46,1290.470,,,,,,,,
,55.5,24.47,1290.470,,,,,,,,
,55.5,24.46,1290.470,,,,,,,,
,55.5,24.46,1290.470,,,,,,,,
,55.5,24.46,1290.470,,,,,,,,
,55.6,24.47,1290.470,,,,,,,,
,55.6,24.46,1290.470,,,,,,,,
,55.6,24.46,1290.470,,,,,,,,
,55.6,24.46,1290.470,,,,,,,,
,55.6,24.46,1290.470,,,,,,,,
,55.6,24.47,1290.470,,,,,,,,
,55.6,24.47,1290.470,,,,,,,,
,55.6,24.47,1290.470,,,,,,,,
,55.6,24.47,1290.470,,,,,,,,
,55.6,24.47,1290.470,,,,,,,,
,55.6,24.46,1290.470,,,,,,,,
,55.7,24.46,1290.470,,,,,,,,
,55.7,24.46,1290.470,,,,,,,,
,55.7,24.47,1290.470,,,,,,,,
,55.7,24.47,1290.470,,,,,,,,
,55.7,24.46,1290.470,,,,,,,,
,55.7,24.47,1290.470,,,,,,,,
,55.7,24.47,1290.480,,,,,,,,
,55.7,24.47,1290.480,,,,,,,,
,55.7,24.47,1290.480,,,,,,,,
,55.7,24.47,1290.480,,,,,,,,
,55.7,24.47,1290.480,,,,,,,,
,55.7,24.47,1290.480,,,,,,,,
,55.7,24.47,1290.480,,,,,,,,
,55.7,24.47,1290.480,,,,,,,,
,55.7,24.48,1290.480,,,,,,,,
,55.7,24.47,1290.480,,,,,,,,
,55.7,24.48,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.47,1290.480,,,,,,,,
,55.8,24.47,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.48,1290.480,,,,,,,,
,55.8,24.49,1290.480,,,,,,,,
,55.8,24.49,1290.480,,,,,,,,
,55.9,24.48,1290.480,,,,,,,,
,56,24.5,1290.480,,,,,,,,
,56,24.5,1290.480,,,,,,,,
,56,24.5,1290.480,,,,,,,,
,56,24.5,1290.480,,,,,,,,
,56,24.5,1290.480,,,,,,,,
,55.9,24.5,1290.480,,,,,,,,
,55.9,24.5,1290.480,,,,,,,,
,56,24.5,1290.480,,,,,,,,
,55.9,24.49,1290.480,,,,,,,,
,55.9,24.5,1290.490,,,,,,,,
,56,24.5,1290.480,,,,,,,,
,56,24.5,1290.480,,,,,,,,
,55.9,24.5,1290.480,,,,,,,,
,56,24.51,1290.480,,,,,,,,
,56,24.51,1290.490,,,,,,,,
,56,24.51,1290.480,,,,,,,,
,56,24.51,1290.490,,,,,,,,
,56,24.51,1290.490,,,,,,,,
,56.1,24.51,1290.490,,,,,,,,
,56,24.51,1290.490,,,,,,,,
,56.1,24.52,1290.490,,,,,,,,
,56.1,24.52,1290.490,,,,,,,,
,56.1,24.53,1290.490,,,,,,,,
,56.1,24.53,1290.490,,,,,,,,
,56.1,24.53,1290.490,,,,,,,,
,56.1,24.53,1290.490,,,,,,,,
,56.1,24.53,1290.490,,,,,,,,
,56.1,24.54,1290.490,,,,,,,,
,56.1,24.54,1290.490,,,,,,,,
,56.2,24.54,1290.490,,,,,,,,
,56.3,24.54,1290.490,,,,,,,,
,56.3,24.55,1290.490,,,,,,,,
,56.4,24.55,1290.490,,,,,,,,
,56.5,24.56,1290.490,,,,,,,,
,56.5,24.56,1290.490,,,,,,,,
,56.6,24.57,1290.490,,,,,,,,
,56.7,24.58,1290.490,,,,,,,,
,56.8,24.59,1290.490,,,,,,,,
,56.9,24.59,1290.490,,,,,,,,
,56.9,24.59,1290.490,,,,,,,,
,57,24.6,1290.490,,,,,,,,
,57.1,24.6,1290.490,,,,,,,,
,57.2,24.61,1290.490,,,,,,,,
,57.3,24.62,1290.490,,,,,,,,
,57.3,24.62,1290.490,,,,,,,,
,57.5,24.62,1290.490,,,,,,,,
,57.5,24.63,1290.490,,,,,,,,
,57.5,24.65,1290.490,,,,,,,,
,57.6,24.68,1290.490,,,,,,,,
,57.6,24.69,1290.490,,,,,,,,
,57.6,24.7,1290.500,,,,,,,,
,57.7,24.71,1290.500,,,,,,,,
,57.8,24.73,1290.500,,,,,,,,
,57.7,24.74,1290.500,,,,,,,,
,57.5,24.75,1290.500,,,,,,,,
,57.4,24.75,1290.500,,,,,,,,
,57.4,24.75,1290.500,,,,,,,,
,57.3,24.75,1290.500,,,,,,,,
,57.3,24.76,1290.500,,,,,,,,
,57.3,24.75,1290.500,,,,,,,,
,57.2,24.75,1290.500,,,,,,,,
,57.2,24.75,1290.500,,,,,,,,
,57.3,24.77,1290.500,,,,,,,,
,57.4,24.79,1290.510,,,,,,,,
,57.4,24.81,1290.500,,,,,,,,
,57.4,24.83,1290.510,,,,,,,,
,57.2,24.84,1290.510,,,,,,,,
,57.1,24.84,1290.510,,,,,,,,
